response_id;birth_year;gender;seniority;industry;household;metro_regional;remote_frequency;remote_preference;collaboration_easy;promotion_reduced;regular_breaks;remote_employer_advantages;remote_with_paycut;barrier_caring_responsibility;barrier_connectivity;barrier_systems_software;barrier_collaboration_remotely;barrier_poor_management;barrier_equipment;barrier_isolation;barrier_costs;barrier_cyber_security;barrier_non_remote_tasks;barrier_workspace;barrier_motivation;barrier_management;barrier_living_situation;barrier_skills;barrier_health_safety;biggest_barrier_hybrid;smallest_barrier_hybrid;remote_feel_better;remote_more_active;colleagues_in_person;productivity
863;1982;Female;Between 1 and 5 years;Public Administration and Safety;One parent family with dependent children;Regional;40%;60%;Somewhat agree;Somewhat agree;Somewhat agree;Strongly Positive;No;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Stayed about the same;Somewhat improved;Not a barrier for me;Stayed about the same;Interruptions;Noisy work environment;Somewhat agree;Somewhat disagree;Somewhat disagree;I知 20% less productive when working remotely
864;1978;Male;More than 5 years;Information Media and Telecommunications;Multiple family household;Metro;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Neither positive nor negative;No;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Difficulty collaborating with remote colleagues;Noisy work environment;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
865;1980;Female;More than 5 years;Construction;Couple with dependent children;Regional;60%;80%;Strongly agree;Somewhat disagree;Somewhat agree;Somewhat Positive;No;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Stayed about the same;Somewhat improved;Significantly improved;Not a barrier for me;Significantly improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Noisy work environment;Lack of privacy;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 30% more productive when working remotely
866;1989;Male;More than 5 years;Other Services;Couple with no dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Somewhat disagree;Somewhat disagree;Strongly Positive;No;Stayed about the same;Stayed about the same;Somewhat worsened;Significantly worsened;Significantly worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat worsened;Difficulty collaborating with remote colleagues;Noisy work environment;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;I知 10% less productive when working remotely
867;1992;Female;Between 1 and 5 years;Retail Trade;Single person;Metro;Rarely or never;100% - All of my time;Strongly agree;Strongly disagree;Strongly agree;Strongly Positive;No;Significantly worsened;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Significantly improved;Stayed about the same;Significantly worsened;Significantly worsened;Not a barrier for me;Not a barrier for me;Interruptions;Difficulty collaborating with remote colleagues;Strongly agree;Strongly agree;Strongly disagree;I知 50% more productive when working remotely (or more)
868;1957;Female;More than 5 years;Education and Training;Couple with no dependent children;Metro;Rarely or never;I would not have preferred to work remotely;Strongly agree;Strongly disagree;Somewhat agree;Neither positive nor negative;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly worsened;Significantly worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;NA;NA;Strongly agree;Somewhat agree;Somewhat agree;I知 30% more productive when working remotely
869;1961;Female;Between 6 and 12 months;Public Administration and Safety;Couple with no dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Somewhat disagree;Somewhat disagree;Strongly Positive;Yes;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;NA;NA;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 30% more productive when working remotely
870;1957;Male;More than 5 years;Education and Training;Couple with no dependent children;Metro;Rarely or never;I would not have preferred to work remotely;Neither agree nor disagree;Neither agree nor disagree;Strongly disagree;Somewhat Negative;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;My productivity is about same when I work remotely
871;1963;Female;More than 5 years;Professional, Scientific and Technical;Couple with dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Somewhat disagree;Somewhat disagree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Lack of privacy;Noisy work environment;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 20% more productive when working remotely
872;1974;Male;Between 6 and 12 months;Wholesale Trade;Couple with dependent children;Metro;Less than 10% of my time;Less than 10% of my time;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Interruptions;Lack of privacy;Somewhat agree;Neither agree nor disagree;Somewhat agree;My productivity is about same when I work remotely
873;1961;Male;Between 1 and 5 years;Professional, Scientific and Technical;Couple with no dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Somewhat disagree;Somewhat disagree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Interruptions;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;My productivity is about same when I work remotely
874;1980;Male;More than 5 years;Information Media and Telecommunications;Couple with dependent children;Regional;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Strongly agree;Strongly agree;Strongly Positive;Yes;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;NA;NA;Strongly agree;Somewhat agree;Strongly agree;My productivity is about same when I work remotely
875;1996;Male;More than 5 years;Retail Trade;Couple with dependent children;Regional;Rarely or never;90%;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;NA;NA;Somewhat disagree;Somewhat agree;Neither agree nor disagree;I知 20% less productive when working remotely
876;1988;Female;More than 5 years;Professional, Scientific and Technical;Single person;Metro;80%;50% - About half of my time;Strongly agree;Strongly agree;Strongly agree;Neither positive nor negative;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat worsened;Not a barrier for me;Not a barrier for me;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Lack of privacy;Strongly agree;Strongly agree;Strongly agree;I知 20% less productive when working remotely
877;1970;Female;Between 1 and 5 years;Other Services;Single person;Metro;70%;60%;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Somewhat Positive;No;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 10% more productive when working remotely
878;1958;Male;Between 1 and 5 years;Manufacturing;Single person;Regional;Rarely or never;50% - About half of my time;Somewhat agree;Neither agree nor disagree;Strongly agree;Somewhat Positive;No;Not a barrier for me;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Not a barrier for me;Not a barrier for me;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly improved;Stayed about the same;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;My productivity is about same when I work remotely
879;1995;Male;More than 5 years;Electricity, Gas, Water and Waste;One parent family with dependent children;Regional;70%;30%;Somewhat disagree;Strongly agree;Somewhat agree;Somewhat Positive;Yes;Not a barrier for me;Somewhat worsened;Significantly worsened;Significantly improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Significantly worsened;Lack of privacy;Interruptions;Somewhat agree;Somewhat agree;Somewhat agree;I知 40% more productive when working remotely
